labs,study_id,n1,mu1,sigma1,n2,mu2,sigma2
"Bohn, 2015",1,15,2,1.7,14,2.3,1.9
"Geng, 2018",2,63,1.5,0.9,57,1.6,0.8
"Han, 2019",3,50,2.6,0.8,45,2.7,0.6
"Hussein, 2012",4,10,1.6,0.8,10,2,0.9
"MacDonald, 2018",5,49,1,3,47,1,3
"Mirzatolooei, 2012",6,80,1.7,0.8,88,2.2,1.1
"Noh, 2013",7,32,1.4,1.6,32,2.7,2.1
"Zhang, 2012",8,38,1.9,1,38,2.1,0.9
